name,asset_code,adjudicated_status_v5,adjudication_rule,evidence_basis,series_testable_v5,mortality_resolved_v5,cagr_eligible_v5
Balancer,bal,QUANT_DEATH,V3_FULL_HISTORY_RETAINED_OVER_LATER_VENUE_WINDOW,V3_COINMETRICS_VALIDATED,True,True,True
NEM,xem,QUANT_DEATH,V3_FULL_HISTORY_RETAINED_OVER_LATER_VENUE_WINDOW,V3_COINMETRICS_VALIDATED,True,True,True
OMG Network,omg,QUANT_DEATH,V3_FULL_HISTORY_RETAINED_OVER_LATER_VENUE_WINDOW,V3_COINMETRICS_VALIDATED,True,True,True
Ren,ren,QUANT_DEATH,V3_FULL_HISTORY_RETAINED_OVER_LATER_VENUE_WINDOW,V3_COINMETRICS_VALIDATED,True,True,True
Verge,xvg,QUANT_DEATH,V3_FULL_HISTORY_RETAINED_OVER_LATER_VENUE_WINDOW,V3_COINMETRICS_VALIDATED,True,True,True
FUNToken,fun,QUANT_DEATH,V3_FULL_HISTORY_RETAINED_OVER_LATER_VENUE_WINDOW,V3_COINMETRICS_VALIDATED,True,True,True
Grass,grass,QUANT_CENSORED_EARLY,MEXC_SPOT_GOVERNS_OVER_BINANCE_PERPETUAL_PROXY,V4_SOURCE_DISAGREEMENT_RECORD,True,True,True
Popcat (SOL),popcat,QUANT_CENSORED_EARLY,MEXC_SPOT_GOVERNS_OVER_BINANCE_PERPETUAL_PROXY,V4_SOURCE_DISAGREEMENT_RECORD,True,True,True
EthereumPoW,ethw,QUANT_DEATH_PROVISIONAL,OKX_SPOT_GOVERNS_OVER_BINANCE_PERPETUAL_PROXY,V4_SOURCE_DISAGREEMENT_RECORD,True,True,True
0x,zrx,QUANT_DEATH_PROVISIONAL,IDENTITY_CONTINUITY_CONFIRMED_AND_BINANCE_SPOT_ANALYSIS_RETAINED,V3_V4_RESOLVED_DISAGREEMENT,True,True,True
Chia,xch,QUANT_DEATH,XCH_EXACT_IDENTITY_INCEPTION_SPOT_ADJUDICATION,GATE_KUCOIN_MANIFEST_PLUS_OKX_KUCOIN_PUBLIC_HISTORY,True,True,True
